patt_id,currency,currency_symbol,price
1223063,USD,$,8
1025993,USD,$,7
157279,USD,$,6
954080,USD,$,7
991446,USD,$,8
1033986,USD,$,9
1270969,USD,$,6
1271755,USD,$,7
442804,USD,$,5.5
1270968,USD,$,6
265865,USD,$,6.75
726789,USD,$,9
1330911,USD,$,7
1344250,USD,$,5
561926,USD,$,7
569053,USD,$,9
1290160,USD,$,7
1260856,USD,$,6
904500,USD,$,4
7287703,USD,$,6.5
1066400,USD,$,9
1237012,USD,$,8
891450,USD,$,7
1157721,USD,$,7
1211412,USD,$,6
996501,USD,$,6.5
928638,USD,$,4.95
1237084,USD,$,7
201994,USD,$,8
849370,USD,$,7
1328930,USD,$,8
1213133,USD,$,6
25038,USD,$,13
1233863,USD,$,8
779484,USD,$,11
7303664,USD,$,6
914923,USD,$,8
1306015,USD,$,9.95
1168479,USD,$,6
1344888,USD,$,4
652389,USD,$,7
1240991,USD,$,5
480671,USD,$,10.5
716571,USD,$,10
1238229,USD,$,9
1182383,USD,$,7
748898,USD,$,4
1250260,USD,$,6
984377,USD,$,5
1139732,USD,$,8.5
1152797,USD,$,6
707750,USD,$,8
1355170,USD,$,5
443121,USD,$,7
899743,USD,$,5.5
974527,USD,$,6.5
685668,USD,$,8
742301,USD,$,9
1338460,USD,$,5.99
932768,USD,$,6
7315121,USD,$,6
806848,USD,$,8
1168477,USD,$,8
484457,USD,$,8
885691,USD,$,6.5
1367483,USD,$,10
1260832,USD,$,6.5
733996,USD,$,6
594331,USD,$,9
1269121,USD,$,6
884555,USD,$,8
1074520,USD,$,12
1330429,USD,$,9
1310200,USD,$,8
1365277,USD,$,10
1035725,USD,$,7
1334604,USD,$,6
1177665,USD,$,7
1289140,USD,$,10
865520,USD,$,6
1285087,USD,$,6
987283,USD,$,9
996469,USD,$,6
613653,USD,$,9
764147,USD,$,8
837432,USD,$,3
88702,USD,$,2
447068,USD,$,6
748739,USD,$,9
1040102,USD,$,5
1252750,USD,$,4
925469,USD,$,9
85985,USD,$,5
914367,USD,$,9
1232726,USD,$,9
1247726,USD,$,7.5
1055681,USD,$,5
1194495,USD,$,6
1290642,USD,$,6
1258606,USD,$,10.5
1326693,USD,$,7
883637,USD,$,5
1188203,USD,$,7
985304,USD,$,6
1050845,USD,$,9
625163,USD,$,4
291754,USD,$,6
1307808,USD,$,7
952303,USD,$,9
1248854,USD,$,8
1252189,USD,$,6.5
1303010,USD,$,6.5
789188,USD,$,5.8
1363574,USD,$,6
904408,USD,$,9
1293963,USD,$,9
1010106,USD,$,8
1077132,USD,$,8
673961,USD,$,9
831614,USD,$,5
865525,USD,$,9
1088763,USD,$,8
1355178,USD,$,8
213483,USD,$,12
786083,USD,$,7
897666,USD,$,6
1228519,USD,$,5
947400,USD,$,6
1252474,USD,$,12
1334532,USD,$,5
7292806,USD,$,5.5
203137,USD,$,11
1312864,USD,$,7
1118524,USD,$,6
1149322,USD,$,7
1207446,USD,$,6
1279524,USD,$,6.5
1363970,USD,$,7
136969,USD,$,3
1019005,USD,$,5.5
1226173,USD,$,8
1250934,USD,$,8.5
1286674,USD,$,7
1314766,USD,$,8
678600,USD,$,13
1059067,USD,$,7
1196004,USD,$,5
1243387,USD,$,6
822497,USD,$,9
1105800,USD,$,8
1168480,USD,$,5
1238236,USD,$,5
399405,USD,$,5
440343,USD,$,6
811303,USD,$,4
671208,USD,$,6
848725,USD,$,9
996027,USD,$,8
7284575,USD,$,10.5
865524,USD,$,9
847398,USD,$,6
1056529,USD,$,8
1350619,USD,$,5
775381,USD,$,5
1145642,USD,$,7
1262043,USD,$,6
783906,USD,$,4
1334117,USD,$,7
687457,USD,$,5
967115,USD,$,7
811941,USD,$,5
1263465,USD,$,5
1095486,USD,$,6.5
1277358,USD,$,8
153899,USD,$,6
1245875,USD,$,6.5
1172761,USD,$,5
1359227,USD,$,6.5
1333989,USD,$,7
975347,USD,$,7
514618,USD,$,6
521629,USD,$,8
733590,USD,$,6.5
1028906,USD,$,5
1113626,USD,$,9
1168002,USD,$,7
1289321,USD,$,6
1344909,USD,$,5
1182784,USD,$,5.5
1214493,USD,$,6
712703,USD,$,4
967429,USD,$,7
1341417,USD,$,6
517333,USD,$,11
694022,USD,$,8
1120514,USD,$,9
1211775,USD,$,6.5
1323567,USD,$,9
962032,USD,$,5
1251164,USD,$,10
1314211,USD,$,5
1302091,USD,$,6
1341341,USD,$,8
1290866,USD,$,8
7285341,USD,$,5
1291210,USD,$,5
1239457,USD,$,8
47530,USD,$,5.95
423077,USD,$,8.5
965072,USD,$,6.2
1341720,USD,$,8
967692,USD,$,7.5
1339664,USD,$,7.5
1365381,USD,$,6
943191,USD,$,10
996478,USD,$,7
1175189,USD,$,8
1259869,USD,$,9
1062643,USD,$,9
1254118,USD,$,6.5
1168899,USD,$,5
1212684,USD,$,6.5
1249957,USD,$,10.5
7293722,USD,$,5.5
631347,USD,$,6
1046533,USD,$,5
241575,USD,$,7.5
929028,USD,$,7.5
1298734,USD,$,7
,,,
,,,
