item_type,cost,count,percent_label
Socks,Paid,184,58%
Socks,Free,134,42%
Pullover,Paid,252,90%
Pullover,Free,27,10%
Shawl/Wrap,Paid,177,72%
Shawl/Wrap,Free,69,28%
Hat,Paid,84,42%
Hat,Free,116,58%
Child,Paid,117,62%
Child,Free,71,38%
Cardigan,Paid,85,89%
Cardigan,Free,10,11%
Mittens/Gloves,Paid,30,37%
Mittens/Gloves,Free,51,63%
Toys,Paid,54,68%
Toys,Free,25,32%
Blanket,Paid,24,34%
Blanket,Free,47,66%
Baby,Paid,27,50%
Baby,Free,27,50%
