item_type,count,percent_of_total
Socks,318,16.96%
Pullover,279,14.88%
Shawl/Wrap,246,13.12%
Hat,200,10.67%
Child,188,10.03%
Cardigan,95,5.07%
Mittens/Gloves,81,4.32%
Toys,79,4.21%
Blanket,71,3.79%
Baby,54,2.88%
Scarf,50,2.67%
Tee,41,2.19%
Home,41,2.19%
Tank/Camisole,39,2.08%
Vest,25,1.33%
Bag,18,0.96%
Dishcloth,17,0.91%
Other,14,0.75%
Shrug,8,0.43%
Pet,8,0.43%
Naughty,1,0.05%
Jacket,1,0.05%
Dress/Suit,1,0.05%
